Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-804,GaN,P63mc,-0.668,0,1.738,46.943,4,5.924
mp-830,GaN,F43m,-0.663,0.005,1.905,23.48,2,5.921
mp-1007824,GaN,P63/mmc,-0.315,0.354,1.371,75.361,4,3.69
mp-2853,GaN,Fm3m,-0.189,0.479,0.509,19.47,2,7.141
mp-1244975,GaN,P1,-0.051,0.618,0.087,1503.841,100,4.623
mp-1244995,GaN,P1,-0.037,0.631,0.156,1481.647,100,4.692
mp-1245233,GaN,P1,-0.019,0.649,0,1645.267,100,4.225
mp-1244916,GaN,P1,-0.019,0.649,0.034,1567.783,100,4.434
mp-1244866,GaN,P1,-0.01,0.658,0,1543.844,100,4.503
mp-1245148,GaN,P1,0.009,0.677,0,1471.255,100,4.725
mp-1245132,GaN,P1,0.01,0.678,0,1506.923,100,4.613
mp-1245069,GaN,P1,0.012,0.68,0.075,1677.612,100,4.144
mp-1245095,GaN,P1,0.014,0.682,0,1661.66,100,4.184
mp-1245288,GaN,P1,0.014,0.683,0,1517.612,100,4.581
mp-1245286,GaN,P1,0.016,0.685,0,1500.199,100,4.634
mp-1245188,GaN,P1,0.017,0.686,0,1549.981,100,4.485
mp-1244934,GaN,P1,0.018,0.686,0,1584.397,100,4.388
mp-1245130,GaN,P1,0.018,0.686,0.097,1650.481,100,4.212
mp-1244884,GaN,P1,0.024,0.692,0.161,1563.667,100,4.446
mp-1245172,GaN,P1,0.024,0.692,0.026,1435.561,100,4.843
mp-1245002,GaN,P1,0.03,0.698,0,1528.262,100,4.549
mp-1244927,GaN,P1,0.034,0.702,0.132,1473.989,100,4.716
mp-1245033,GaN,P1,0.034,0.702,0.002,1538.164,100,4.52
mp-1245244,GaN,P1,0.034,0.703,0.02,1569.014,100,4.431
mp-1245181,GaN,P1,0.035,0.703,0,1489.982,100,4.666
mp-1245326,GaN,P1,0.036,0.704,0,1486.104,100,4.678
mp-1245046,GaN,P1,0.036,0.704,0.036,1584.159,100,4.388
mp-1244886,GaN,P1,0.037,0.705,0.049,1531.441,100,4.539
mp-1245138,GaN,P1,0.037,0.706,0.01,1541.112,100,4.511
mp-1245030,GaN,P1,0.038,0.707,0.059,1399.09,100,4.969
mp-1245295,GaN,P1,0.039,0.708,0,1499.132,100,4.637
mp-1245258,GaN,P1,0.044,0.712,0,1496.264,100,4.646
mp-1244903,GaN,P1,0.047,0.715,0.069,2268.848,100,3.064
mp-1245013,GaN,P1,0.049,0.718,0.087,1550.933,100,4.482
mp-1245165,GaN,P1,0.051,0.719,0,1474.188,100,4.716
mp-1245106,GaN,P1,0.056,0.725,0,2460.457,100,2.825
mp-1245302,GaN,P1,0.059,0.728,0.083,1625.961,100,4.276
mp-1245150,GaN,P1,0.064,0.732,0,1621.076,100,4.288
mp-1245075,GaN,P1,0.066,0.734,0,1435.93,100,4.841
mp-1244984,GaN,P1,0.073,0.742,0,2252.332,100,3.086
mp-1244896,GaN,P1,0.076,0.744,0.033,2300.818,100,3.021
mp-1244998,GaN,P1,0.1,0.768,0,1565.089,100,4.442
