Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-32,Ge,Fd3m,0,0,0,47.847,2,5.042
mp-1091415,Ge,P63/mmc,0.008,0.008,0,191.052,8,5.051
mp-1198022,Ge,Fd3m,0.026,0.026,0.67,922.639,34,4.445
mp-1007760,Ge,P63/mmc,0.121,0.121,0.086,94.944,4,5.082
mp-1080106,Ge,Ia3,0.14,0.14,0,175.024,8,5.513
mp-128,Ge,R3,0.142,0.142,0,173.077,8,5.575
mp-78,Ge,I41/amd,0.227,0.227,0,38.587,2,6.252
mp-1061054,Ge,Imma,0.236,0.236,0,38.029,2,6.344
mp-137,Ge,P43212,0.238,0.238,0.873,258.089,12,5.608
mp-1224349,Ge,Cmmm,0.246,0.246,0,19.607,1,6.152
mp-1079020,Ge,Cmce,0.308,0.308,0,156.852,8,6.152
mp-1197020,Ge,Fd3m,0.321,0.321,0,952.742,34,4.305
mp-1008733,Ge,P63/mmc,0.326,0.326,0,38.767,2,6.223
mp-12093,Ge,Fm3m,0.329,0.329,0,19.653,1,6.138
mp-148,Ge,Fmmm,0.34,0.34,0,77.665,4,6.212
mp-998883,Ge,Im3m,0.34,0.34,0,19.514,1,6.181
mp-1067619,Ge,P63mc,0.471,0.471,0.791,156.192,4,3.089
