Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-1079615,Ba2UCdO6,Fm3m,-3.121,0,1.884,167.781,10,7.137,cubic
mp-1205836,Ba2LuMoO6,Fm3m,-3.123,0,0,148.883,10,7.155,cubic
mp-1205541,NaScTl2F6,Fm3m,-3.173,0,4.764,167.563,10,5.854,cubic
mp-558194,NaLaMgWO6,C2/m,-2.898,0,3.497,250.006,20,6.191,monoclinic
mp-1206435,Ba2DyTaO6,Fm3m,-3.591,0,3.384,155.248,10,7.638,cubic
mp-1205575,Sr2ScOsO6,Fm3m,-2.904,0,0,132.62,10,6.341,cubic
mp-1091394,Ba2NaIO6,Fm3m,-2.22,0,2.242,151.7,10,5.698,cubic
mp-1206877,Lu3PbC,Pm3m,-0.568,0,0,109.687,5,11.265,cubic
mp-1210016,NaNdMgWO6,P21,-2.876,0,3.788,246.224,20,6.358,monoclinic
mp-1206121,DyRu3C,Pm3m,-0.215,0,0,72.054,5,11.009,cubic
mp-12451,LiLa2OsO6,P21/c,-2.886,0,0.35,257.088,20,7.376,monoclinic
mp-1114429,Rb2LiScCl6,Fm3m,-2.389,0,3.728,267.835,10,2.7,cubic
mp-1205825,Ba2MgMoO6,Fm3m,-2.878,0,2.264,138.462,10,5.887,cubic
mp-1211106,LiPr2RuO6,P21/c,-2.801,0,0.343,250.435,20,6.443,monoclinic
mp-1206516,Lu3InC,Pm3m,-0.573,0,0.062,109.774,5,9.859,cubic
mp-1209462,Rb3NaRe2O9,P63/mmc,-2.241,0,1.783,495.704,30,5.332,hexagonal
mp-1213363,EuNpO3,Pnma,-3.427,0,0,315.581,20,9.197,orthorhombic
mp-1190059,EuHfS3,Pnma,-2.204,0,0,461.447,20,6.141,orthorhombic
mp-1214509,Ba3ZrIr2O9,P63/mmc,-2.587,0,0,436.192,30,7.855,hexagonal
mp-1212340,Ho2MnNiO6,P21/c,-2.836,0,1.88,223.215,20,8.027,monoclinic
mp-1079169,Ba2NdIrO6,Fm3m,-2.702,0,0,158.598,10,7.404,cubic
mp-1205585,Ba2HoUO6,Fm3m,-3.677,0,0.887,169.849,10,7.563,cubic
mp-1114667,Rb2LiTmCl6,Fm3m,-2.456,0,5.28,282.028,10,3.294,cubic
mp-1205569,Ba2UInO6,Fm3m,-3.184,0,1.033,162.863,10,7.377,cubic
mp-1078802,LaVGe3,P63/mmc,-0.576,0,0,196.387,10,6.896,hexagonal
mp-1106293,EuZrO3,Pnma,-3.649,0,0.345,282.216,20,6.853,orthorhombic
mp-6183,Ba2PrRuO6,C2/m,-2.752,0,0.18,159.98,10,6.359,monoclinic
mp-1068661,ZrBRh3,Pm3m,-0.753,0,0,71.515,5,9.537,cubic
mp-1212755,Gd2ZnPtO6,P21/c,-2.608,0,0,245.301,20,9.084,monoclinic
mp-1105395,Ca2ScOsO6,P21/c,-2.9,0,0,246.123,20,5.55,monoclinic
mp-1097916,CsCaCl3,Pm3m,-2.632,0,5.383,163.544,5,2.836,cubic
mp-1214813,Ba2LuReO6,C2/m,-3.093,0,0,147.027,10,8.265,monoclinic
mp-18764,Ba2SrWO6,C2/m,-2.969,0,3.294,165.225,10,6.453,monoclinic
mp-19012,CaMoO3,Pnma,-2.688,0,1.154,251.704,20,4.856,orthorhombic
mp-1206894,Lu3AlC,Pm3m,-0.479,0,0.065,107.007,5,8.75,cubic
mp-6362,Sr2TbIrO6,P21/c,-2.768,0,0,284.546,20,7.264,monoclinic
mp-1205553,Sr2LuTaO6,Fm3m,-3.613,0,3.487,143.844,10,7.24,cubic
mp-1206443,La3SnC,Pm3m,-0.494,0,0,142.058,5,6.399,cubic
mp-998761,TlNiF3,Pm3m,-2.125,0,3.551,71.115,5,7.474,cubic
mp-1205597,Ba2TbMoO6,Fm3m,-3.069,0,0,155.173,10,6.694,cubic
mp-12410,Ba2TbIrO6,Fm3m,-2.78,0,0,151.583,10,7.907,cubic
mp-1206444,Cs3IO,P63/mmc,-1.386,0,1.514,440.266,10,4.086,hexagonal
mp-1209742,Pr2MgPtO6,P21/c,-2.856,0,2.053,253.914,20,7.811,monoclinic
mp-1207118,Ba2CdMoO6,Fm3m,-2.517,0,2.583,152.172,10,6.318,cubic
mp-1207079,SrH3Pd,Pm3m,-0.61,0,0,57.002,5,5.741,cubic
mp-1205665,Ba2EuRuO6,Fm3m,-2.633,0,0,154.028,10,6.724,cubic
mp-1206844,RbPaO3,Pm3m,-3.546,0,3.214,85.793,5,7.055,cubic
mp-1210924,LiTb2RuO6,P21/c,-2.875,0,0.331,233.942,20,7.408,monoclinic
mp-1213256,CsEuCl3,Pnma,-2.592,0,0,722.691,20,3.596,orthorhombic
mp-557448,Ba2CaUO6,P21/c,-3.56,0,2.198,337.154,20,6.39,monoclinic
